index,type,class_idx,feature_idx
14036,weight,6,1748
14053,weight,6,1765
14064,weight,6,1776
14086,weight,6,1798
14168,weight,6,1880
14221,weight,6,1933
14223,weight,6,1935
14226,weight,6,1938
14286,weight,6,1998
14291,weight,6,2003
14306,weight,6,2018
14321,weight,6,2033
14334,weight,6,2046
14349,weight,7,13
14366,weight,7,30
14396,weight,7,60
14462,weight,7,126
14463,weight,7,127
14489,weight,7,153
14503,weight,7,167
14519,weight,7,183
14533,weight,7,197
14534,weight,7,198
14542,weight,7,206
14550,weight,7,214
14552,weight,7,216
14591,weight,7,255
14654,weight,7,318
14655,weight,7,319
14678,weight,7,342
14688,weight,7,352
14749,weight,7,413
14774,weight,7,438
14775,weight,7,439
14777,weight,7,441
14825,weight,7,489
14875,weight,7,539
14908,weight,7,572
14911,weight,7,575
14966,weight,7,630
14968,weight,7,632
14982,weight,7,646
15013,weight,7,677
15030,weight,7,694
15070,weight,7,734
15116,weight,7,780
15120,weight,7,784
15122,weight,7,786
15133,weight,7,797
15142,weight,7,806
15169,weight,7,833
15186,weight,7,850
15221,weight,7,885
15227,weight,7,891
15234,weight,7,898
15246,weight,7,910
15260,weight,7,924
15302,weight,7,966
15345,weight,7,1009
15352,weight,7,1016
15380,weight,7,1044
15389,weight,7,1053
15400,weight,7,1064
15444,weight,7,1108
15454,weight,7,1118
15459,weight,7,1123
15472,weight,7,1136
15481,weight,7,1145
15496,weight,7,1160
15529,weight,7,1193
15539,weight,7,1203
15561,weight,7,1225
15566,weight,7,1230
15610,weight,7,1274
15638,weight,7,1302
15648,weight,7,1312
15673,weight,7,1337
15674,weight,7,1338
15677,weight,7,1341
15691,weight,7,1355
15694,weight,7,1358
15717,weight,7,1381
15741,weight,7,1405
15764,weight,7,1428
15774,weight,7,1438
15784,weight,7,1448
15788,weight,7,1452
15824,weight,7,1488
15834,weight,7,1498
15845,weight,7,1509
15884,weight,7,1548
15885,weight,7,1549
15891,weight,7,1555
15894,weight,7,1558
15930,weight,7,1594
15932,weight,7,1596
